frame.number,frame.time,ip.src,ip.dst,tcp.srcport,tcp.dstport,frame.len,_ws.col.Info
"1681","Dec  8, 2024 14:51:14.186835357 IST","172.18.0.3","172.18.0.2","8087","61216","54","8087 → 61216 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1682","Dec  8, 2024 14:51:14.186848482 IST","172.18.0.2","172.18.0.3","61216","1","58","61216 → 1 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1683","Dec  8, 2024 14:51:14.186852346 IST","172.18.0.3","172.18.0.2","1","61216","54","1 → 61216 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1684","Dec  8, 2024 14:51:14.186864865 IST","172.18.0.2","172.18.0.3","61216","6566","58","61216 → 6566 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1685","Dec  8, 2024 14:51:14.186869257 IST","172.18.0.3","172.18.0.2","6566","61216","54","6566 → 61216 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1686","Dec  8, 2024 14:51:14.186883498 IST","172.18.0.2","172.18.0.3","61216","7920","58","61216 → 7920 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1687","Dec  8, 2024 14:51:14.186887307 IST","172.18.0.3","172.18.0.2","7920","61216","54","7920 → 61216 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1688","Dec  8, 2024 14:51:14.186899996 IST","172.18.0.2","172.18.0.3","61216","912","58","61216 → 912 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1689","Dec  8, 2024 14:51:14.186903972 IST","172.18.0.3","172.18.0.2","912","61216","54","912 → 61216 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1690","Dec  8, 2024 14:51:14.186916714 IST","172.18.0.2","172.18.0.3","61216","3809","58","61216 → 3809 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1691","Dec  8, 2024 14:51:14.186920462 IST","172.18.0.3","172.18.0.2","3809","61216","54","3809 → 61216 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1692","Dec  8, 2024 14:51:14.186933229 IST","172.18.0.2","172.18.0.3","61216","1163","58","61216 → 1163 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1693","Dec  8, 2024 14:51:14.186936956 IST","172.18.0.3","172.18.0.2","1163","61216","54","1163 → 61216 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1694","Dec  8, 2024 14:51:14.186949604 IST","172.18.0.2","172.18.0.3","61216","9103","58","61216 → 9103 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1695","Dec  8, 2024 14:51:14.186953312 IST","172.18.0.3","172.18.0.2","9103","61216","54","9103 → 61216 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1696","Dec  8, 2024 14:51:14.186966024 IST","172.18.0.2","172.18.0.3","61216","2800","58","61216 → 2800 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1697","Dec  8, 2024 14:51:14.186970131 IST","172.18.0.3","172.18.0.2","2800","61216","54","2800 → 61216 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
