frame.number,frame.time,ip.src,ip.dst,tcp.srcport,tcp.dstport,frame.len,_ws.col.Info
"1081","Dec  8, 2024 14:50:18.905080089 IST","172.18.0.3","172.18.0.2","9943","52975","54","9943 → 52975 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1082","Dec  8, 2024 14:50:18.905091264 IST","172.18.0.2","172.18.0.3","52975","9103","58","52975 → 9103 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1083","Dec  8, 2024 14:50:18.905094731 IST","172.18.0.3","172.18.0.2","9103","52975","54","9103 → 52975 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1084","Dec  8, 2024 14:50:18.905105822 IST","172.18.0.2","172.18.0.3","52975","2323","58","52975 → 2323 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1085","Dec  8, 2024 14:50:18.905109201 IST","172.18.0.3","172.18.0.2","2323","52975","54","2323 → 52975 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1086","Dec  8, 2024 14:50:18.905120704 IST","172.18.0.2","172.18.0.3","52975","5405","58","52975 → 5405 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1087","Dec  8, 2024 14:50:18.905124136 IST","172.18.0.3","172.18.0.2","5405","52975","54","5405 → 52975 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1088","Dec  8, 2024 14:50:18.905135316 IST","172.18.0.2","172.18.0.3","52975","9081","58","52975 → 9081 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1089","Dec  8, 2024 14:50:18.905138630 IST","172.18.0.3","172.18.0.2","9081","52975","54","9081 → 52975 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1090","Dec  8, 2024 14:50:18.905149592 IST","172.18.0.2","172.18.0.3","52975","6566","58","52975 → 6566 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1091","Dec  8, 2024 14:50:18.905152920 IST","172.18.0.3","172.18.0.2","6566","52975","54","6566 → 52975 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1092","Dec  8, 2024 14:50:18.905163868 IST","172.18.0.2","172.18.0.3","52975","22939","58","52975 → 22939 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1093","Dec  8, 2024 14:50:18.905167174 IST","172.18.0.3","172.18.0.2","22939","52975","54","22939 → 52975 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1094","Dec  8, 2024 14:50:18.905178225 IST","172.18.0.2","172.18.0.3","52975","6881","58","52975 → 6881 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1095","Dec  8, 2024 14:50:18.905181495 IST","172.18.0.3","172.18.0.2","6881","52975","54","6881 → 52975 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1096","Dec  8, 2024 14:50:18.905192354 IST","172.18.0.2","172.18.0.3","52975","6669","58","52975 → 6669 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1097","Dec  8, 2024 14:50:18.905195603 IST","172.18.0.3","172.18.0.2","6669","52975","54","6669 → 52975 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1098","Dec  8, 2024 14:50:18.905206485 IST","172.18.0.2","172.18.0.3","52975","2500","58","52975 → 2500 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1099","Dec  8, 2024 14:50:18.905209768 IST","172.18.0.3","172.18.0.2","2500","52975","54","2500 → 52975 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1100","Dec  8, 2024 14:50:18.905220976 IST","172.18.0.2","172.18.0.3","52975","49156","58","52975 → 49156 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1101","Dec  8, 2024 14:50:18.905224410 IST","172.18.0.3","172.18.0.2","49156","52975","54","49156 → 52975 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1102","Dec  8, 2024 14:50:18.905235689 IST","172.18.0.2","172.18.0.3","52975","1100","58","52975 → 1100 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1103","Dec  8, 2024 14:50:18.905238936 IST","172.18.0.3","172.18.0.2","1100","52975","54","1100 → 52975 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1104","Dec  8, 2024 14:50:18.905250008 IST","172.18.0.2","172.18.0.3","52975","60020","58","52975 → 60020 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1105","Dec  8, 2024 14:50:18.905253076 IST","172.18.0.3","172.18.0.2","60020","52975","54","60020 → 52975 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1106","Dec  8, 2024 14:50:18.905264318 IST","172.18.0.2","172.18.0.3","52975","1524","58","52975 → 1524 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1107","Dec  8, 2024 14:50:18.905267967 IST","172.18.0.3","172.18.0.2","1524","52975","54","1524 → 52975 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
