frame.number,frame.time,ip.src,ip.dst,tcp.srcport,tcp.dstport,frame.len,_ws.col.Info
"1674","Dec 10, 2024 20:16:59.548445445 IST","172.18.0.2","172.18.0.3","52006","9593","58","52006 → 9593 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1675","Dec 10, 2024 20:16:59.548448925 IST","172.18.0.3","172.18.0.2","9593","52006","54","9593 → 52006 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1676","Dec 10, 2024 20:16:59.548460220 IST","172.18.0.2","172.18.0.3","52006","1074","58","52006 → 1074 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1677","Dec 10, 2024 20:16:59.548463673 IST","172.18.0.3","172.18.0.2","1074","52006","54","1074 → 52006 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1678","Dec 10, 2024 20:16:59.548475106 IST","172.18.0.2","172.18.0.3","52006","4998","58","52006 → 4998 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1679","Dec 10, 2024 20:16:59.548478900 IST","172.18.0.3","172.18.0.2","4998","52006","54","4998 → 52006 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1680","Dec 10, 2024 20:16:59.548490231 IST","172.18.0.2","172.18.0.3","52006","1106","58","52006 → 1106 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1681","Dec 10, 2024 20:16:59.548493763 IST","172.18.0.3","172.18.0.2","1106","52006","54","1106 → 52006 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1682","Dec 10, 2024 20:16:59.548505417 IST","172.18.0.2","172.18.0.3","52006","4446","58","52006 → 4446 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1683","Dec 10, 2024 20:16:59.548508998 IST","172.18.0.3","172.18.0.2","4446","52006","54","4446 → 52006 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1684","Dec 10, 2024 20:16:59.548520857 IST","172.18.0.2","172.18.0.3","52006","5811","58","52006 → 5811 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1685","Dec 10, 2024 20:16:59.548524391 IST","172.18.0.3","172.18.0.2","5811","52006","54","5811 → 52006 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1686","Dec 10, 2024 20:16:59.548536846 IST","172.18.0.2","172.18.0.3","52006","63331","58","52006 → 63331 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1687","Dec 10, 2024 20:16:59.548540223 IST","172.18.0.3","172.18.0.2","63331","52006","54","63331 → 52006 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1688","Dec 10, 2024 20:16:59.548551844 IST","172.18.0.2","172.18.0.3","52006","5000","58","52006 → 5000 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1689","Dec 10, 2024 20:16:59.548555308 IST","172.18.0.3","172.18.0.2","5000","52006","54","5000 → 52006 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1690","Dec 10, 2024 20:16:59.548567101 IST","172.18.0.2","172.18.0.3","52006","1199","58","52006 → 1199 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1691","Dec 10, 2024 20:16:59.548570939 IST","172.18.0.3","172.18.0.2","1199","52006","54","1199 → 52006 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1692","Dec 10, 2024 20:16:59.548582580 IST","172.18.0.2","172.18.0.3","52006","1309","58","52006 → 1309 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1693","Dec 10, 2024 20:16:59.548586136 IST","172.18.0.3","172.18.0.2","1309","52006","54","1309 → 52006 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1694","Dec 10, 2024 20:16:59.548597503 IST","172.18.0.2","172.18.0.3","52006","2811","58","52006 → 2811 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1695","Dec 10, 2024 20:16:59.548601082 IST","172.18.0.3","172.18.0.2","2811","52006","54","2811 → 52006 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1696","Dec 10, 2024 20:16:59.548612132 IST","172.18.0.2","172.18.0.3","52006","6156","58","52006 → 6156 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1697","Dec 10, 2024 20:16:59.548615605 IST","172.18.0.3","172.18.0.2","6156","52006","54","6156 → 52006 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1698","Dec 10, 2024 20:16:59.548626914 IST","172.18.0.2","172.18.0.3","52006","900","58","52006 → 900 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1699","Dec 10, 2024 20:16:59.548630576 IST","172.18.0.3","172.18.0.2","900","52006","54","900 → 52006 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1700","Dec 10, 2024 20:16:59.548642858 IST","172.18.0.2","172.18.0.3","52006","808","58","52006 → 808 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1701","Dec 10, 2024 20:16:59.548646288 IST","172.18.0.3","172.18.0.2","808","52006","54","808 → 52006 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1702","Dec 10, 2024 20:16:59.548658077 IST","172.18.0.2","172.18.0.3","52006","1079","58","52006 → 1079 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
