frame.number,frame.time,ip.src,ip.dst,tcp.srcport,tcp.dstport,frame.len,_ws.col.Info
"1416","Dec  8, 2024 14:59:06.029353622 IST","172.18.0.2","172.18.0.3","34067","1058","58","34067 → 1058 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1417","Dec  8, 2024 14:59:06.029356961 IST","172.18.0.3","172.18.0.2","1058","34067","54","1058 → 34067 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1418","Dec  8, 2024 14:59:06.029368783 IST","172.18.0.2","172.18.0.3","34067","2601","58","34067 → 2601 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1419","Dec  8, 2024 14:59:06.029372496 IST","172.18.0.3","172.18.0.2","2601","34067","54","2601 → 34067 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1420","Dec  8, 2024 14:59:06.029384041 IST","172.18.0.2","172.18.0.3","34067","1198","58","34067 → 1198 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1421","Dec  8, 2024 14:59:06.029387683 IST","172.18.0.3","172.18.0.2","1198","34067","54","1198 → 34067 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1422","Dec  8, 2024 14:59:06.029400030 IST","172.18.0.2","172.18.0.3","34067","8088","58","34067 → 8088 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1423","Dec  8, 2024 14:59:06.029403780 IST","172.18.0.3","172.18.0.2","8088","34067","54","8088 → 34067 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1424","Dec  8, 2024 14:59:06.029415681 IST","172.18.0.2","172.18.0.3","34067","2909","58","34067 → 2909 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1425","Dec  8, 2024 14:59:06.029419577 IST","172.18.0.3","172.18.0.2","2909","34067","54","2909 → 34067 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1426","Dec  8, 2024 14:59:06.029431222 IST","172.18.0.2","172.18.0.3","34067","1085","58","34067 → 1085 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1427","Dec  8, 2024 14:59:06.029434981 IST","172.18.0.3","172.18.0.2","1085","34067","54","1085 → 34067 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1428","Dec  8, 2024 14:59:06.029447643 IST","172.18.0.2","172.18.0.3","34067","3011","58","34067 → 3011 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1429","Dec  8, 2024 14:59:06.029451481 IST","172.18.0.3","172.18.0.2","3011","34067","54","3011 → 34067 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1430","Dec  8, 2024 14:59:06.029462762 IST","172.18.0.2","172.18.0.3","34067","50800","58","34067 → 50800 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1431","Dec  8, 2024 14:59:06.029466237 IST","172.18.0.3","172.18.0.2","50800","34067","54","50800 → 34067 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1432","Dec  8, 2024 14:59:06.029477667 IST","172.18.0.2","172.18.0.3","34067","7007","58","34067 → 7007 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1433","Dec  8, 2024 14:59:06.029481430 IST","172.18.0.3","172.18.0.2","7007","34067","54","7007 → 34067 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1434","Dec  8, 2024 14:59:06.029492846 IST","172.18.0.2","172.18.0.3","34067","16080","58","34067 → 16080 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1435","Dec  8, 2024 14:59:06.029496637 IST","172.18.0.3","172.18.0.2","16080","34067","54","16080 → 34067 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1436","Dec  8, 2024 14:59:06.029508089 IST","172.18.0.2","172.18.0.3","34067","20031","58","34067 → 20031 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1437","Dec  8, 2024 14:59:06.029511678 IST","172.18.0.3","172.18.0.2","20031","34067","54","20031 → 34067 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1438","Dec  8, 2024 14:59:06.029523375 IST","172.18.0.2","172.18.0.3","34067","749","58","34067 → 749 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1439","Dec  8, 2024 14:59:06.029527096 IST","172.18.0.3","172.18.0.2","749","34067","54","749 → 34067 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1440","Dec  8, 2024 14:59:06.029538605 IST","172.18.0.2","172.18.0.3","34067","9878","58","34067 → 9878 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1441","Dec  8, 2024 14:59:06.029542010 IST","172.18.0.3","172.18.0.2","9878","34067","54","9878 → 34067 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1442","Dec  8, 2024 14:59:06.029554483 IST","172.18.0.2","172.18.0.3","34067","16016","58","34067 → 16016 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1443","Dec  8, 2024 14:59:06.029557839 IST","172.18.0.3","172.18.0.2","16016","34067","54","16016 → 34067 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1444","Dec  8, 2024 14:59:06.029706021 IST","172.18.0.2","172.18.0.3","34067","1783","58","34067 → 1783 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1445","Dec  8, 2024 14:59:06.029714918 IST","172.18.0.3","172.18.0.2","1783","34067","54","1783 → 34067 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1446","Dec  8, 2024 14:59:06.029729735 IST","172.18.0.2","172.18.0.3","34067","48080","58","34067 → 48080 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1447","Dec  8, 2024 14:59:06.029733184 IST","172.18.0.3","172.18.0.2","48080","34067","54","48080 → 34067 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1448","Dec  8, 2024 14:59:06.029744396 IST","172.18.0.2","172.18.0.3","34067","9503","58","34067 → 9503 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1449","Dec  8, 2024 14:59:06.029747938 IST","172.18.0.3","172.18.0.2","9503","34067","54","9503 → 34067 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1450","Dec  8, 2024 14:59:06.029759539 IST","172.18.0.2","172.18.0.3","34067","1666","58","34067 → 1666 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1451","Dec  8, 2024 14:59:06.029762936 IST","172.18.0.3","172.18.0.2","1666","34067","54","1666 → 34067 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1452","Dec  8, 2024 14:59:06.029774537 IST","172.18.0.2","172.18.0.3","34067","2035","58","34067 → 2035 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1453","Dec  8, 2024 14:59:06.029778077 IST","172.18.0.3","172.18.0.2","2035","34067","54","2035 → 34067 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1454","Dec  8, 2024 14:59:06.029790465 IST","172.18.0.2","172.18.0.3","34067","19283","58","34067 → 19283 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1455","Dec  8, 2024 14:59:06.029794219 IST","172.18.0.3","172.18.0.2","19283","34067","54","19283 → 34067 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1456","Dec  8, 2024 14:59:06.029974531 IST","172.18.0.2","172.18.0.3","34067","1234","58","34067 → 1234 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1457","Dec  8, 2024 14:59:06.029986045 IST","172.18.0.3","172.18.0.2","1234","34067","54","1234 → 34067 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1458","Dec  8, 2024 14:59:06.030011748 IST","172.18.0.2","172.18.0.3","34067","9200","58","34067 → 9200 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1459","Dec  8, 2024 14:59:06.030016083 IST","172.18.0.3","172.18.0.2","9200","34067","54","9200 → 34067 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1460","Dec  8, 2024 14:59:06.030028993 IST","172.18.0.2","172.18.0.3","34067","9502","58","34067 → 9502 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1461","Dec  8, 2024 14:59:06.030032562 IST","172.18.0.3","172.18.0.2","9502","34067","54","9502 → 34067 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1462","Dec  8, 2024 14:59:06.030045130 IST","172.18.0.2","172.18.0.3","34067","2251","58","34067 → 2251 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1463","Dec  8, 2024 14:59:06.030048974 IST","172.18.0.3","172.18.0.2","2251","34067","54","2251 → 34067 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1464","Dec  8, 2024 14:59:06.030061309 IST","172.18.0.2","172.18.0.3","34067","425","58","34067 → 425 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1465","Dec  8, 2024 14:59:06.030064975 IST","172.18.0.3","172.18.0.2","425","34067","54","425 → 34067 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1466","Dec  8, 2024 14:59:06.030076894 IST","172.18.0.2","172.18.0.3","34067","903","58","34067 → 903 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1467","Dec  8, 2024 14:59:06.030080749 IST","172.18.0.3","172.18.0.2","903","34067","54","903 → 34067 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1468","Dec  8, 2024 14:59:06.030092596 IST","172.18.0.2","172.18.0.3","34067","3324","58","34067 → 3324 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1469","Dec  8, 2024 14:59:06.030096211 IST","172.18.0.3","172.18.0.2","3324","34067","54","3324 → 34067 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1470","Dec  8, 2024 14:59:06.030108318 IST","172.18.0.2","172.18.0.3","34067","27000","58","34067 → 27000 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1471","Dec  8, 2024 14:59:06.030112155 IST","172.18.0.3","172.18.0.2","27000","34067","54","27000 → 34067 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1472","Dec  8, 2024 14:59:06.030125592 IST","172.18.0.2","172.18.0.3","34067","2191","58","34067 → 2191 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1473","Dec  8, 2024 14:59:06.030129233 IST","172.18.0.3","172.18.0.2","2191","34067","54","2191 → 34067 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1474","Dec  8, 2024 14:59:06.030141529 IST","172.18.0.2","172.18.0.3","34067","17","58","34067 → 17 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1475","Dec  8, 2024 14:59:06.030145104 IST","172.18.0.3","172.18.0.2","17","34067","54","17 → 34067 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1476","Dec  8, 2024 14:59:06.030156750 IST","172.18.0.2","172.18.0.3","34067","8045","58","34067 → 8045 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1477","Dec  8, 2024 14:59:06.030160511 IST","172.18.0.3","172.18.0.2","8045","34067","54","8045 → 34067 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1478","Dec  8, 2024 14:59:06.030172029 IST","172.18.0.2","172.18.0.3","34067","1132","58","34067 → 1132 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1479","Dec  8, 2024 14:59:06.030175436 IST","172.18.0.3","172.18.0.2","1132","34067","54","1132 → 34067 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1480","Dec  8, 2024 14:59:06.030186872 IST","172.18.0.2","172.18.0.3","34067","18101","58","34067 → 18101 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1481","Dec  8, 2024 14:59:06.030190347 IST","172.18.0.3","172.18.0.2","18101","34067","54","18101 → 34067 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1482","Dec  8, 2024 14:59:06.030201749 IST","172.18.0.2","172.18.0.3","34067","34571","58","34067 → 34571 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1483","Dec  8, 2024 14:59:06.030205270 IST","172.18.0.3","172.18.0.2","34571","34067","54","34571 → 34067 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1484","Dec  8, 2024 14:59:06.030216974 IST","172.18.0.2","172.18.0.3","34067","5998","58","34067 → 5998 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1485","Dec  8, 2024 14:59:06.030220625 IST","172.18.0.3","172.18.0.2","5998","34067","54","5998 → 34067 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1486","Dec  8, 2024 14:59:06.030232745 IST","172.18.0.2","172.18.0.3","34067","9485","58","34067 → 9485 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1487","Dec  8, 2024 14:59:06.030236501 IST","172.18.0.3","172.18.0.2","9485","34067","54","9485 → 34067 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1488","Dec  8, 2024 14:59:06.030248231 IST","172.18.0.2","172.18.0.3","34067","1311","58","34067 → 1311 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
