frame.number,frame.time,ip.src,ip.dst,tcp.srcport,tcp.dstport,frame.len,_ws.col.Info
"1608","Dec 16, 2024 14:24:03.000720491 IST","172.18.0.2","172.18.0.3","39799","1328","58","39799 → 1328 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1609","Dec 16, 2024 14:24:03.000723808 IST","172.18.0.3","172.18.0.2","1328","39799","54","1328 → 39799 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1610","Dec 16, 2024 14:24:03.000735461 IST","172.18.0.2","172.18.0.3","39799","900","58","39799 → 900 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1611","Dec 16, 2024 14:24:03.000738804 IST","172.18.0.3","172.18.0.2","900","39799","54","900 → 39799 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1612","Dec 16, 2024 14:24:03.000749893 IST","172.18.0.2","172.18.0.3","39799","9502","58","39799 → 9502 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1613","Dec 16, 2024 14:24:03.000753270 IST","172.18.0.3","172.18.0.2","9502","39799","54","9502 → 39799 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1614","Dec 16, 2024 14:24:03.000764488 IST","172.18.0.2","172.18.0.3","39799","7","58","39799 → 7 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1615","Dec 16, 2024 14:24:03.000768082 IST","172.18.0.3","172.18.0.2","7","39799","54","7 → 39799 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1616","Dec 16, 2024 14:24:03.000779305 IST","172.18.0.2","172.18.0.3","39799","5810","58","39799 → 5810 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1617","Dec 16, 2024 14:24:03.000782828 IST","172.18.0.3","172.18.0.2","5810","39799","54","5810 → 39799 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1618","Dec 16, 2024 14:24:03.000793911 IST","172.18.0.2","172.18.0.3","39799","1688","58","39799 → 1688 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1619","Dec 16, 2024 14:24:03.000797211 IST","172.18.0.3","172.18.0.2","1688","39799","54","1688 → 39799 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1620","Dec 16, 2024 14:24:03.000808223 IST","172.18.0.2","172.18.0.3","39799","60443","58","39799 → 60443 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1621","Dec 16, 2024 14:24:03.000811698 IST","172.18.0.3","172.18.0.2","60443","39799","54","60443 → 39799 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1622","Dec 16, 2024 14:24:03.000822877 IST","172.18.0.2","172.18.0.3","39799","1058","58","39799 → 1058 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1623","Dec 16, 2024 14:24:03.000826236 IST","172.18.0.3","172.18.0.2","1058","39799","54","1058 → 39799 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1624","Dec 16, 2024 14:24:03.000837547 IST","172.18.0.2","172.18.0.3","39799","3031","58","39799 → 3031 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1625","Dec 16, 2024 14:24:03.000840906 IST","172.18.0.3","172.18.0.2","3031","39799","54","3031 → 39799 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1626","Dec 16, 2024 14:24:03.000851896 IST","172.18.0.2","172.18.0.3","39799","1088","58","39799 → 1088 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1627","Dec 16, 2024 14:24:03.000855360 IST","172.18.0.3","172.18.0.2","1088","39799","54","1088 → 39799 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1628","Dec 16, 2024 14:24:03.000867060 IST","172.18.0.2","172.18.0.3","39799","30951","58","39799 → 30951 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1629","Dec 16, 2024 14:24:03.000870533 IST","172.18.0.3","172.18.0.2","30951","39799","54","30951 → 39799 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1630","Dec 16, 2024 14:24:03.000881643 IST","172.18.0.2","172.18.0.3","39799","631","58","39799 → 631 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
